title,author,release_date,last_updated,language,ebook,character_set_encoding,chapter_count,section_count,lines_count,number_of_words,publish_year
Apocolocyntosis,Lucius Seneca,"November 10, 2003","April 9, 2005",English,10001,ASCII,0,4,958,8807,2003
The House on the Borderland,William Hope Hodgson,"November 10, 2003","November 10, 2003",English,10002,ASCII,0,4,5690,54201,2003
"My First Years As A Frenchwoman, 1876-1879",Mary King Waddington,"November 10, 2003","November 10, 2003",English,10003,ASCII,0,4,6327,64594,2003
The Warriors,"Lindsay, Anna Robertson Brown","November 10, 2003","November 10, 2003",English,10004,ASCII,0,4,5361,51300,2003
A Voyage to the Moon,George Tucker,"November 7, 2003","November 7, 2003",English,10005,ASCII,34,4,7313,73656,2003
La Fiammetta,Giovanni Boccaccio,"November 7, 2003","November 7, 2003",English,10006,ASCII,0,4,1582,16512,2003
The Mystery,Stewart Edward White and Samuel Hopkins Adams,"November 7, 2003","November 7, 2003",English,10008,ASCII,0,4,9154,69542,2003
Wild Northern Scenes,S. H. Hammond,"November 7, 2003","November 7, 2003",English,10009,ASCII,61,4,8502,90180,2003
The Eulogies of Howard,William Hayley,"November 7, 2003","November 7, 2003",English,10010,ASCII,0,4,1451,13938,2003
365 Foreign Dishes,Unknown,"November 7, 2003","November 7, 2003",English,10011,ASCII,0,4,3881,26555,2003
"Punchinello, Vol. 1, No. 9, May 28, 1870",Various,"November 7, 2003","November 7, 2003",English,10013,ASCII,0,4,2535,18202,2003
"Punchinello, Vol. 1, No. 18, July 30, 1870",Various,"November 7, 2003","October 14, 2005",English,10014,ASCII,1,4,2858,19257,2003
"Punchinello, Vol. 1, No. 19, August 6, 1870",Various,"November 7, 2003","November 7, 2003",English,10015,ASCII,1,4,2681,18382,2003
"Punchinello Vol. 1, No. 21, August 20, 1870",Various,"November 7, 2003","November 7, 2003",English,10016,ASCII,1,4,2824,19782,2003
"Punchinello, Vol. 1, No. 23,  September 3, 1870",Various,"November 7, 2003","November 7, 2003",English,10017,ASCII,1,4,2661,18392,2003
"Punchinello, Vol. 1, No. 5,  April 30, 1870",Various,"November 8, 2003","November 8, 2003",English,10018,ASCII,0,4,2741,18548,2003
"Punchinello, Vol. 1, No. 22, August 27, 1870",Various,"November 8, 2003","November 8, 2003",English,10019,ASCII,4,4,2740,18474,2003
"The Strand Magazine: Volume VII, Issue 37. January, 1894.",Edited by George Newnes,"November 8, 2003","November 8, 2003",English,10020,ASCII,0,4,5632,48315,2003
Tenterhooks,Ada Leverson,"November 8, 2003","November 8, 2003",English,10021,ASCII,29,4,7316,55174,2003
White Queen of the Cannibals: The Story of Mary Slessor,A. J. Bueltmann,"November 8, 2003","November 8, 2003",English,10022,ASCII,0,4,4811,41693,2003
There's Pippins And Cheese To Come,Charles S. Brooks,"November 8, 2003","November 8, 2003",English,10023,ASCII,0,4,3583,38245,2003
Beneath the Banner,F. J. Cross,"November 9, 2003","November 9, 2003",English,10024,ASCII,0,4,6441,53315,2003
Gaslight Sonatas,Fannie  Hurst,"November 9, 2003","November 9, 2003",English,10025,ASCII,0,4,9639,69686,2003
"The Mirror of Literature, Amusement, and Instruction, Vol. 10,", Various,"October 9, 2003","October 9, 2003",English,10026,ASCII,0,4,1937,16222,2003
The Triple Alliance,Harold Avery,"November 13, 2003","November 13, 2003",English,10027,ASCII,24,4,9072,75404,2003
Spalding's Official Baseball Guide - 1913,Anonmous,"October 12, 2003","October 12, 2003",English,10028,US-ASCII,0,4,5369,46349,2003
The Hunt Ball Mystery,"Magnay, William","November 10, 2003","January 29, 2005",English,10029,ASCII,27,4,6896,54856,2003
The Life of Hon. William F. Cody,William F. Cody,"November 10, 2003","July 5, 2006",English,10030,ASCII,64,4,10790,104068,2003
"Punchinello, Vol. 1, No. 24, September 10, 1870",Various,"November 10, 2003","November 10, 2003",English,10032,ASCII,1,4,2622,18401,2003
"Punchinello, Vol. 1, No. 25, September 17, 1870",Various,"November 10, 2003","November 10, 2003",English,10033,ASCII,2,4,2648,18820,2003
"Punchinello, Vol. 1, No. 26, September 24, 1870",Various,"November 10, 2003","November 10, 2003",English,10034,ASCII,1,4,2888,18082,2003
"Punchinello, Vol. 2, No. 27, October 1, 1870",Various,"November 10, 2003","November 10, 2003",English,10035,ASCII,1,4,2750,19139,2003
"Punchinello Vol. 2, No. 28, October 8, 1870",Various,"November 10, 2003","November 10, 2003",English,10036,ASCII,2,4,2778,18691,2003
A Beautiful Possibility,Edith Ferguson Black,"November 10, 2003","November 10, 2003",English,10037,ASCII,33,4,8222,69786,2003
The Magnetic North,Elizabeth Robins (C. E. Raimond),"November 10, 2003","November 10, 2003",English,10038,ASCII,23,4,21255,154845,2003
"The Works of Aphra Behn, Vol. III",Aphra Behn,"November 10, 2003","November 10, 2003",English,10039,ASCII,0,4,23550,147559,2003
Alaska Indian Dictionary,Charles A. Lee,"November 10, 2003","November 10, 2003","As Spoken By The Oogashik, Egashik, Egegik,",10040,ASCII,0,4,1053,4683,2003
The Rivet in Grandfather's Neck,James Branch Cabell,"November 11, 2003","November 11, 2003",English,10041,ASCII,0,4,9132,75482,2003
The Child Under Eight,E.R. Murray and Henrietta Brown Smith,"November 11, 2003","November 11, 2003",English,10042,ASCII,27,4,8147,75355,2003
Klondyke Nuggets,Joseph Ladue,"November 11, 2003","November 11, 2003",English,10043,ASCII,5,4,3319,32326,2003
The Father of British Canada: A Chronicle of Carleton,William Wood,"November 11, 2003","November 11, 2003",English,10044,ASCII,9,4,5621,48042,2003
Dave Darrin's Second Year at Annapolis,H. Irving Hancock,"November 11, 2003","November 11, 2003",English,10045,ASCII,21,4,6265,40441,2003
Salute to Adventurers,John Buchan,"November 11, 2003","November 11, 2003",English,10046,ASCII,28,4,9802,95425,2003
"Punchinello, Vol. 2, No. 29, October 15, 1870",Various,"November 11, 2003","November 11, 2003",English,10047,ASCII,2,4,2785,20103,2003
Billie Bradley and Her Inheritance,Janet D. Wheeler,"November 11, 2003","January 8, 2005",English,10048,ASCII,26,4,6225,45314,2003
Old Lady Mary,Margaret O. (Wilson) Oliphant,"November 11, 2003","November 11, 2003",English,10049,ASCII,0,4,2981,30351,2003
A Little Pilgrim,Margaret O. (Wilson) Oliphant,"November 11, 2003","November 11, 2003",English,10050,ASCII,0,4,2838,29895,2003
The Little Pilgrim: Further Experiences.,Margaret O. (Wilson) Oliphant,"November 11, 2003","November 11, 2003",English,10051,ASCII,0,4,4081,45376,2003
"The Open Door, and the Portrait.",Margaret O. (Wilson) Oliphant,"November 11, 2003","November 11, 2003",English,10052,ASCII,0,4,3511,38260,2003
Chinese Literature,Anonymous,"November 17, 2003","November 17, 2003",English,10056,ASCII,41,4,12006,90235,2003
The Secret of the Tower,"Hope, Anthony","November 17, 2003","November 17, 2003",English,10057,ASCII,18,4,6270,54036,2003
The Divine Office,Rev. E. J. Quigley,"November 17, 2003","November 17, 2003",English,10058,ASCII,16,4,8321,76409,2003
Aunt Jane's Nieces on Vacation,Edith Van Dyne,"November 12, 2003","November 12, 2003",English,10059,ASCII,25,4,6650,51775,2003
Discourses,Thomas H. Huxley,"November 12, 2003","November 12, 2003",English,10060,ASCII,0,4,9956,98940,2003
The Iron Game,Henry Francis Keenan,"November 12, 2003","November 12, 2003",English,10062,ASCII,34,4,15638,144792,2003
Happiness and Marriage,Elizabeth (Jones) Towne,"November 12, 2003","November 12, 2003",English,10063,ASCII,14,4,2686,24700,2003
Beltane The Smith,Jeffery Farnol,"November 12, 2003","March 18, 2004",English,10064,ASCII,70,4,21764,176439,2003
The Constitution of the United States,James M. Beck,"November 12, 2003","November 12, 2003",English,10065,ASCII,0,4,4031,36993,2003
Gunman's Reckoning,Max Brand,"November 22, 2003","November 22, 2003",English,10066,ASCII,0,4,10679,82916,2003
The Mystery Of The Boule Cabinet,Burton Egbert Stevenson,"November 12, 2003","February 27, 2005",English,10067,ASCII,28,4,9563,71433,2003
The Power and the Glory,Grace MacGowan Cooke,"November 12, 2003","November 12, 2003",English,10068,ASCII,26,4,10585,94471,2003
Account of the Romansh Language,"Joseph Planta, Esq. F. R. S.","November 12, 2003","November 12, 2003",English,10069,ASCII,0,4,1368,11421,2003
By-Ways of Bombay,"S. M. Edwardes, C.V.O.","November 12, 2003","November 12, 2003",English,10071,ASCII,0,4,3378,33499,2003
English Housewifery Exemplified,Elizabeth Moxon,"November 13, 2003","November 13, 2003",English,10072,ASCII,0,4,8253,67318,2003
"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various,"October 13, 2003","October 13, 2003",English,10074,US-ASCII,0,4,1916,15999,2003
"A Narrative of the Life and Adventures of Venture, a Native of",Venture Smith,"November 13, 2003","November 13, 2003",English,10075,ASCII,3,4,1339,13280,2003
Lister's Great Adventure,Harold Bindloss,"November 13, 2003","November 13, 2003",English,10076,ASCII,33,4,9408,80555,2003
"The Atlantic Monthly, Volume 10, Number 60, October 1862",Various,"November 13, 2003","November 13, 2003",English,10077,ASCII,0,4,9286,87940,2003
Plain Words From America,Douglas W. Johnson,"November 14, 2003","November 14, 2003",English,10078,US-ASCII,0,4,1441,13639,2003
"The Atlantic Monthly, Volume 2, Number 9, July, 1858",Various,"November 14, 2003","June 8, 2005",English,10079,ASCII,6,4,9182,88052,2003
Mobilizing Woman-Power,Harriot Stanton Blatch,"November 14, 2003","November 14, 2003",English,10080,ASCII,0,4,4694,41469,2003
The Boy Allies at Jutland,Robert L. Drake,"November 14, 2003","November 14, 2003",English,10081,ASCII,30,4,8072,54081,2003
The Hampstead Mystery,John R. Watson,"November 14, 2003","December 22, 2004",English,10082,US-ASCII,33,4,12082,111460,2003
Kazan,James Oliver Curwood,"November 14, 2003","November 14, 2003",English,10084,ASCII,27,4,6819,69022,2003
Moorish Literature,Anonymous,"November 14, 2003","November 14, 2003",English,10085,ASCII,0,4,12522,94948,2003
The Minute Boys of the Mohawk Valley,James Otis,"November 14, 2003","November 14, 2003",English,10086,ASCII,0,4,9862,88811,2003
Old Lady Number 31,Louise Forsslund,"November 15, 2003","November 15, 2003",English,10087,ASCII,0,4,4148,35075,2003
Thaumaturgia,An Oxonian,"November 15, 2003","November 15, 2003",English,10088,ASCII,44,4,9832,95178,2003
Elves and Heroes,Donald A. MacKenzie,"November 15, 2003","November 15, 2003",English,10089,ASCII,0,4,3139,19082,2003
Peaceless Europe,Francesco Saverio Nitti,"November 15, 2003","November 15, 2003",English,10090,ASCII,0,4,8998,79000,2003
"Punchinello, Vol. II., Issue 31, October 29, 1870",Various,"November 15, 2003","November 15, 2003",English,10091,ASCII,1,4,2650,17967,2003
"Punchinello Vol. II., No. 30,  October 22, 1870",Various,"November 15, 2003","November 15, 2003",English,10092,ASCII,1,4,2694,18224,2003
Gutta-Percha Willie,George MacDonald,"November 15, 2003","November 15, 2003",English,10093,ASCII,24,4,5606,51207,2003
A Soldier of Virginia ,Burton Egbert Stevenson,"November 16, 2003","November 16, 2003",English,10094,ASCII,28,4,8987,84512,2003
The Trojan women of Euripides,Euripides,"November 16, 2003","November 16, 2003",English,10096,ASCII,0,4,3635,21987,2003
The Healing of Nations and the Hidden Sources of Their Strife,Edward Carpenter,"November 16, 2003","November 16, 2003",English,10097,ASCII,0,4,5340,50481,2003
How Jerusalem Was Won,W.T. Massey,"November 16, 2003","November 16, 2003",English,10098,ASCII,20,4,9040,90482,2003
Towards The Goal,Mrs. Humphry Ward,"November 16, 2003","November 16, 2003",English,10099,ASCII,0,4,5363,53245,2003
Byron,John Nichol,"November 16, 2003","November 16, 2003",English,10100,ASCII,22,4,7037,67893,2003
A Little Boy Lost,"Hudson, W. H.","November 17, 2003","November 17, 2003",English,10101,ASCII,19,4,4358,42204,2003
The Czar's Spy,William Le Queux,"November 17, 2003","November 17, 2003",English,10102,ASCII,19,4,11389,94144,2003
"The Great Events by Famous Historians, Vol. 8",Editor-in-Chief: Rossiter Johnson,"November 17, 2003","November 17, 2003",English,10103,ASCII,0,4,15736,163998,2003
"Punchinello, Vol. 2., No. 32,  November 5, 1870",Various,"November 17, 2003","November 17, 2003",English,10104,ASCII,2,4,2721,19143,2003
"Punchinello, Vol. II., No. 33, November 12, 1870",Various,"November 17, 2003","November 17, 2003",English,10105,ASCII,0,4,2719,18314,2003
"Punchinello, Vol. II., No. 34, November 19, 1870",Various,"November 17, 2003","November 17, 2003",English,10106,ASCII,0,4,2508,18178,2003
With British Guns in Italy,Hugh Dalton,"November 17, 2003","November 17, 2003",English,10107,ASCII,84,4,7857,77302,2003
A Treatise Of Daunses,Anonymous,"November 17, 2003","November 17, 2003",English,10108,ASCII,0,4,1079,10156,2003
The Unspeakable Gentleman ,John P. Marquand,"November 17, 2003","November 17, 2003",English,10109,ASCII,0,4,6686,53543,2003
Boys and girls from Thackeray ,Kate Dickinson Sweetser,"November 17, 2003","November 17, 2003",English,10111,ASCII,0,4,10566,106762,2003
American Political Ideas Viewed From The Standpoint Of Universal History,John Fiske,"November 17, 2003","November 17, 2003",English,10112,ASCII,0,4,3727,35454,2003
"The Great Events by Famous Historians, Vol. 2",Various,"November 17, 2003","November 17, 2003",English,10114,ASCII,0,4,16624,164025,2003
All Saints' Day and Other Sermons,Charles Kingsley,"November 17, 2003","November 17, 2003",English,10116,ASCII,0,4,10525,119458,2003
The Folk-lore of Plants,T. F. Thiselton-Dyer,"November 18, 2003","November 18, 2003",English,10118,ASCII,23,4,9424,79966,2003
Adonais,Shelley,"November 18, 2003","November 18, 2003",English,10119,ASCII,0,4,6006,52726,2003
England of My Heart--Spring,Edward Hutton,"November 18, 2003","November 18, 2003",English,10120,ASCII,42,4,9340,96566,2003
Oriental Literature,Anonymous,"November 18, 2003","November 18, 2003",English,10121,ASCII,0,4,6071,52577,2003
Fairies and Fusiliers,Robert Graves,"November 18, 2003","November 18, 2003",English,10122,ASCII,0,4,2194,11159,2003
Aunt Jane's Nieces,Edith Van Dyne,"November 18, 2003","November 18, 2003",English,10123,ASCII,31,4,7692,54583,2003
Aunt Jane's Nieces and Uncle John,Edith Van Dyne,"November 18, 2003","November 18, 2003",English,10124,ASCII,23,4,5955,46308,2003
The Best Letters of Charles Lamb,Charles Lamb,"November 18, 2003","November 18, 2003",English,10125,ASCII,0,4,9762,89812,2003
Home-Life of the Lancashire Factory Folk during the Cotton Famine,Edwin Waugh,"November 19, 2003","November 19, 2003",English,10126,ASCII,23,4,6475,65931,2003
Abducted to Oz,Bob Evans and Chris Dulabone,"November 19, 2003","November 19, 2003",English,10127,ASCII,16,4,3889,34842,2003
"The Great Events by Famous Historians, Vol. 17",Charles Francis Horne,"November 19, 2003","November 19, 2003",English,10128,ASCII,0,4,15264,155021,2003
Excellent Women,Various,"November 19, 2003","November 19, 2003",English,10129,ASCII,14,4,11776,113596,2003
Books for Children,Charles and Mary Lamb,"November 19, 2003","November 19, 2003",English,10130,ASCII,20,4,22431,207320,2003
Required Poems for Reading and Memorizing,Anonymous,"November 19, 2003","November 19, 2003",English,10131,ASCII,0,4,6418,32832,2003
The Sowers,Henry Seton Merriman,"November 19, 2003","November 19, 2003",English,10132,ASCII,44,4,14249,109356,2003
"The Vigil of Venus and Other Poems by ""Q""",Q,"November 19, 2003","November 19, 2003",English,10133,ASCII,0,4,3110,16386,2003
"John Wesley, Jr.",Dan B. Brummitt,"November 19, 2003","November 19, 2003",English,10134,ASCII,9,4,7843,75315,2003
"The Great English Short-Story Writers, Vol. 1",Various,"November 19, 2003","November 19, 2003",English,10135,ASCII,0,4,9352,89111,2003
The Book of Household Management,Mrs. Isabella Beeton,"November 19, 2003","November 19, 2003",English,10136,ASCII,44,4,67002,518041,2003
"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",Various,"November 19, 2003","April 30, 2005",English,10138,ASCII,5,4,9085,88037,2003
The Faith of the Millions (2nd series),George Tyrrell,"November 19, 2003","November 19, 2003",English,10139,ASCII,0,4,8363,84813,2003
"A Discourse on the Life, Character and Writings of Gulian Crommelin",William Cullen Bryant,"November 19, 2003","November 19, 2003",English,10141,ASCII,0,4,1680,17177,2003
Maezli,Johanna Spyri,"November 20, 2003","November 20, 2003",English,10142,ASCII,9,4,7358,67499,2003
"Punch, Volume 153, July 11, 1917",Various,"November 20, 2003","November 20, 2003",English,10143,ASCII,0,4,2025,14976,2003
"Punchinello, Vol. II., No. 35, November 26, 1870",Various,"November 20, 2003","November 20, 2003",English,10144,ASCII,5,4,2614,18545,2003
Turkey: A Past and a Future,Arnold Joseph Toynbee,"November 20, 2003","November 20, 2003",English,10145,ASCII,0,4,2746,24830,2003
Reminiscences of Pioneer Days in St. Paul,Frank Moore,"November 20, 2003","November 20, 2003",English,10146,ASCII,3,4,4862,46266,2003
America's War for Humanity,Thomas Herbert Russell,"November 20, 2003","November 20, 2003",English,10147,ASCII,38,4,23552,203634,2003
The Merry Adventures of Robin Hood,Howard Pyle,"November 20, 2003","November 20, 2003",English,10148,ASCII,0,4,11580,114400,2003
Home as Found,James Fenimore Cooper,"November 20, 2003","November 20, 2003",English,10149,ASCII,0,4,18149,159070,2003
"The Great Events by Famous Historians, Volume 5",Various,"November 20, 2003","November 20, 2003",English,10151,ASCII,0,4,15498,154738,2003
England and the War,Walter Raleigh,"November 20, 2003","November 20, 2003",English,10159,ASCII,0,4,3948,42212,2003
English Poets of the Eighteenth Century,Selected and Edited with an Introduction by Ernest Bernbaum,"November 21, 2003","November 21, 2003",English,10161,ASCII,0,4,17233,104221,2003
"Dio's Rome, Vol. III",Cassius Dio,"November 21, 2003","November 21, 2003",English,10162,ASCII,0,4,8690,96876,2003
Mohammedanism,C. Snouck Hurgronje,"November 21, 2003","November 21, 2003",English,10163,ASCII,0,4,4024,36731,2003
The Black Creek Stopping-House,Nellie McClung,"November 21, 2003","November 21, 2003",English,10164,ASCII,13,4,5357,46047,2003
Across the Zodiac,Percy Greg,"November 21, 2003","November 21, 2003",English,10165,US-ASCII,30,4,16437,167700,2003
What Germany Thinks,Thomas F. A. Smith,"November 21, 2003","November 21, 2003",English,10166,ASCII,14,4,9239,79203,2003
The Desert of Wheat,Zane Grey,"November 21, 2003","November 21, 2003",English,10201,ASCII,32,4,14273,120724,2003
"Maria Mitchell: Life, Letters, and Journals",Maria Mitchell,"November 21, 2003","November 21, 2003",English,10202,ASCII,26,4,9137,82747,2003
Wolves of the Sea,Randall Parrish,"November 22, 2003","November 22, 2003",English,10210,ASCII,33,4,11089,97074,2003
At Whispering Pine Lodge,Lawrence J. Leslie,"November 22, 2003","November 22, 2003",English,10211,ASCII,16,4,5227,49159,2003
Peck's Bad Boy at the Circus,George W. Peck,"November 22, 2003","November 22, 2003",English,10212,ASCII,52,4,5651,58856,2003
The Everlasting Whisper,Jackson Gregory,"November 22, 2003","November 22, 2003",English,10213,ASCII,0,4,12424,116190,2003
Introduction to the Philosophy and Writings of Plato,Thomas Taylor,"November 22, 2003","November 22, 2003",English,10214,ISO Latin-1,0,4,4083,42457,2003
Poems,Marietta Holley,"November 22, 2003","November 22, 2003",English,10216,ASCII,0,4,5004,30067,2003
The Land Of Little Rain,Mary Hunter Austin,"November 22, 2003","November 22, 2003",English,10217,ASCII,0,4,3687,38814,2003
The Poetical Works of William Wordsworth,(Edited by William Knight),"November 23, 2003","November 23, 2003",English,10219,ASCII,0,4,20676,107820,2003
Daddy Takes Us Skating,Howard R. Garis,"November 23, 2003","November 23, 2003",English,10220,ASCII,12,4,2256,16828,2003
Purple Springs,Nellie L. McClung,"November 23, 2003","November 23, 2003",English,10221,ASCII,25,4,9990,89670,2003
The Pilgrims of New England,Mrs. J. B. Webb,"November 23, 2003","November 23, 2003",English,10222,ASCII,23,4,12116,123789,2003
Our Little Alaskan Cousin,Mary F. Nixon-Roulet,"August 1, 2013","August 1, 2013",English,10224,ASCII,13,4,3508,26644,2013
Their Crimes,Various,"November 24, 2003","November 24, 2003",English,10225,ASCII,0,4,2041,17531,2003
Beautiful Joe,by Marshall Saunders,"November 24, 2003","November 24, 2003",English,10226,ASCII,38,4,9648,93151,2003
Old Creole Days,George Washington Cable,"November 24, 2003","November 24, 2003",English,10234,ASCII,15,4,9136,71002,2003
